,ReportNormId,ReportNormName
141,701,-Công cụ khác
142,702,Các công cụ tài chính phái sinh và các tài sản tài chính khác (tổng giá trị Công nợ ghi sổ kế toán tại ngày đầu kỳ)
143,703,Công cụ tài chính phái sinh tiền tệ
144,704,-Giao dịch kỳ hạn tiền tệ
145,705,-Giao dịch hoán đổi tiền tệ
146,706,-Mua quyền chọn tiền tệ
147,707,+Mua Quyền chọn Mua
148,708,+Mua quyền chọn bán
149,709,-Bán Quyền chọn tiền tệ
150,710,+Bán quyền chọn mua
151,711,+Bán quyền chọn bán
152,712,-Giao dịch tương lai tiền tệ
153,713,Công cụ tài chính phái sinh khác
154,714,-Giao dịch hoán đổi lãi suất
155,715,-Công cụ khác
156,716,Cho vay  khách hàng
157,717,Phân tích theo loại hình cho vay
158,718," + Cho vay các tổ chức kinh tế, cá nhân trong nước"
159,719, + Cho thuê tài chính
160,720," + Cho vay từ nguồn vốn từ Chính phủ, các tổ chức quốc tế khác"
161,721, + Cho vay cá nhân và tổ chức nước ngoài
162,722, + Cho vay chiết khấu thương phiếu và các giấy tờ có giá
163,723, + Các khoản trả thay khách hàng
164,724, + Nợ cho vay được khoanh và nợ chờ xử lý
165,725," + Cho vay bằng vốn tài trợ, ủy thác đầu tư"
166,726, + Cho vay khác
167,727,Phân tích theo ngành nghề kinh doanh
168,728," + Nông, lâm, thủy hải sản"
169,729, + Khai khoáng
170,730," + Tiện ích: Sản xuất, phân phối điện, khí đốt, nước"
171,731," + Cung cấp nước, quản lý và xử lý rác thải, nước thải"
172,732, + Xây dựng
173,733, + Sản xuất công nghiệp và gia công chế biến
174,734," + Thương mại: bán buôn, bán lẻ"
175,735, + Hoạt động kinh doanh bất động sản
176,736, + Vận tải kho bãi và thông tin liên lạc
177,737," + Giáo dục và đào tạo, y tế"
178,738," + Dịch vụ lưu trú, nhà hàng, khách sạn, ăn uống"
179,739, + Dịch vụ cá nhân và cộng đồng
180,740, + Thông tin và truyền thông
181,741," + Hoạt động tài chính, ngân hàng, bảo hiểm"
182,742," + Chuyên môn, khoa học và công nghệ"
183,743,+ Hoạt động hành chính và dịch vụ hỗ trợ
184,744,+ Hoạt động tổ chức cơ quan quốc tế
185,745, + Các ngành nghề khác
186,746,Phân tích chất lượng nợ cho vay
187,747, + Nhóm 1: Nợ đủ tiêu chuẩn
188,748, + Nhóm 2: Nợ cần chú ý
189,749, + Nhóm 3: Nợ dưới tiêu chuẩn
190,750, + Nhóm 4: Nợ nghi ngờ
191,751, + Nhóm 5: Nợ có khả năng mất vốn
192,752,Phân tích dư nợ theo thời gian đáo hạn
193,753, + Ngắn hạn
194,754, + Trung hạn
195,755, + Dài hạn
